Year,Month,Layer_Herd,Unit,Date,Layer_Herd_LTM,YoY_Growth_1y,YoY_Growth_2y,YoY_Growth_3y
2017,DEC,57208000,HEAD,2017-12-01,56970583.333333336,3.557011748094774,1.8171463149838862,5.157898606668865
2018,JAN,58103000,HEAD,2018-01-01,57171000.0,4.317928830478657,2.80623529203603,6.622747458435785
2018,FEB,58148000,HEAD,2018-02-01,57339500.0,3.6026084167765315,1.883552643106201,6.6642208566449535
2018,MAR,59245000,HEAD,2018-03-01,57547416.666666664,4.396475770925101,4.310086800359181,6.494463618061541
2018,APR,59555000,HEAD,2018-04-01,57754500.0,4.354301734711763,5.074189735175283,6.708354983784548
2018,MAY,59657000,HEAD,2018-05-01,57942333.333333336,3.9266240440395173,5.022533624392644,5.668030536514523
2018,JUN,58992000,HEAD,2018-06-01,58079916.666666664,2.879266144643444,4.755478211457187,5.8247376446318055
2018,JUL,58359000,HEAD,2018-07-01,58175333.333333336,2.001258433250608,4.169716009496094,4.8603873935386455
2018,AUG,57525000,HEAD,2018-08-01,58220000.0,0.9405323834424273,3.717793844545003,3.7252745271281418
2018,SEP,57362000,HEAD,2018-09-01,58197000.0,-0.47885075818037137,3.4350938565014255,3.93361236433476
2018,OCT,57634000,HEAD,2018-10-01,58239166.666666664,0.8857302898753749,4.290393210647259,4.152811912678911
2018,NOV,57751000,HEAD,2018-11-01,58294916.666666664,1.1719981780596411,3.734372754706139,4.206062793215448
2018,DEC,58243000,HEAD,2018-12-01,58381166.666666664,1.8091875262201018,5.4305522871676,3.6592094256678642
2019,JAN,59181000,HEAD,2019-01-01,58471000.0,1.8553258867872513,6.2533663686308305,4.71362598864058
2019,FEB,59476000,HEAD,2019-02-01,58581666.666666664,2.2838274747196907,5.968713252325131,4.210397210589956
2019,MAR,59435000,HEAD,2019-03-01,58597500.0,0.32070216895940806,4.731277533039657,4.64461151117137
2019,APR,59566000,HEAD,2019-04-01,58598416.666666664,0.018470321551511404,4.37357630979498,5.093597275887007
2019,MAY,60025000,HEAD,2019-05-01,58629083.333333336,0.616859714702378,4.567705520617382,5.670375325681287
2019,JUN,59418000,HEAD,2019-06-01,58664583.333333336,0.7221318144833289,3.6221900559808784,5.511950847036262
2019,JUL,59062000,HEAD,2019-07-01,58723166.666666664,1.2046128274987522,3.2299786765477068,5.424557770915528
2019,AUG,58450000,HEAD,2019-08-01,58800250.0,1.6079965232507654,2.5636526347189825,5.385572363557678
2019,SEP,58450000,HEAD,2019-09-01,58890916.666666664,1.8967260555768695,1.4087928102987535,5.396974232288088
2019,OCT,59035000,HEAD,2019-10-01,59007666.666666664,2.430856785924984,3.338117910656768,6.825543311076121
2019,NOV,59008000,HEAD,2019-11-01,59112416.666666664,2.1765856868279254,3.3740934094810937,5.992240264405813
2019,DEC,59989000,HEAD,2019-12-01,59257916.666666664,2.9977851415620815,4.861208222626212,8.59113371829916
2020,JAN,61085000,HEAD,2020-01-01,59416583.333333336,3.2172487791689797,5.132265115398527,9.67180150095157
2020,FEB,60849000,HEAD,2020-02-01,59531000.0,2.3084941825274097,4.64504368163996,8.414994833054191
2020,MAR,61719000,HEAD,2020-03-01,59721333.333333336,3.8428535374779083,4.17587982108194,8.755947136563869
2020,APR,61478000,HEAD,2020-04-01,59880666.666666664,3.209884833629917,3.2289480312316376,7.72384790608025
2020,MAY,60828000,HEAD,2020-05-01,59947583.333333336,1.3377759266972156,1.9628878421643625,5.9665871121718395
