Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit,Date,Avg_Weight,Month_Num,Heads_YoY_Growth,Volume_YoY_Growth,Weight_LTM_Avg
1968,FEB,185828000,HEAD,3.57,"LB / HEAD, LIVE BASIS",3.57,"HEAD × LB / HEAD, LIVE BASIS",1968-02-01,1.921131368792647e-08,2,5.056421157368662,-0.8333333333333415,1.7524354826094686e-08
1968,MAR,191146000,HEAD,3.59,"LB / HEAD, LIVE BASIS",3.59,"HEAD × LB / HEAD, LIVE BASIS",1968-03-01,1.878145501344522e-08,3,-6.768054160041359,0.27932960893854997,1.763434768448979e-08
1968,APR,204758000,HEAD,3.63,"LB / HEAD, LIVE BASIS",3.63,"HEAD × LB / HEAD, LIVE BASIS",1968-04-01,1.7728245050254445e-08,4,4.261971199869641,1.1142061281337101,1.758835649567367e-08
1968,MAY,221873000,HEAD,3.62,"LB / HEAD, LIVE BASIS",3.6200000000000006,"HEAD × LB / HEAD, LIVE BASIS",1968-05-01,1.6315640028304482e-08,5,-4.126228275617705,2.220446049250313e-14,1.7644458208356664e-08
1968,JUN,206586000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.56,"HEAD × LB / HEAD, LIVE BASIS",1968-06-01,1.7232532698246736e-08,6,-11.16109056506408,0.0,1.7804736423448795e-08
1968,JUL,231359000,HEAD,3.54,"LB / HEAD, LIVE BASIS",3.54,"HEAD × LB / HEAD, LIVE BASIS",1968-07-01,1.5300896010096863e-08,7,13.538170111693471,-0.561797752808979,1.762393556994973e-08
1968,AUG,231103000,HEAD,3.52,"LB / HEAD, LIVE BASIS",3.52,"HEAD × LB / HEAD, LIVE BASIS",1968-08-01,1.5231303790950356e-08,8,-3.7992756941264583,-1.6759776536312776,1.765134545134811e-08
1968,SEP,204046000,HEAD,3.67,"LB / HEAD, LIVE BASIS",3.67,"HEAD × LB / HEAD, LIVE BASIS",1968-09-01,1.7986140380110368e-08,9,-2.590787356843127,0.0,1.7690177338927444e-08
1968,OCT,233307000,HEAD,3.71,"LB / HEAD, LIVE BASIS",3.7099999999999995,"HEAD × LB / HEAD, LIVE BASIS",1968-10-01,1.5901794631108367e-08,10,5.981193785772687,0.5420054200541813,1.7618488515940632e-08
1968,NOV,178078000,HEAD,3.68,"LB / HEAD, LIVE BASIS",3.68,"HEAD × LB / HEAD, LIVE BASIS",1968-11-01,2.0665101809319513e-08,11,-5.375807008687794,-0.8086253369272156,1.7697780754932494e-08
1968,DEC,192519000,HEAD,3.72,"LB / HEAD, LIVE BASIS",3.72,"HEAD × LB / HEAD, LIVE BASIS",1968-12-01,1.932276814236517e-08,12,6.4487769275003215,1.0869565217391353,1.7612371439950592e-08
1969,JAN,223114000,HEAD,3.7,"LB / HEAD, LIVE BASIS",3.7,"HEAD × LB / HEAD, LIVE BASIS",1969-01-01,1.6583450612691272e-08,1,8.019365770999753,1.3698630136986356,1.7521720154568273e-08
1969,FEB,188000000,HEAD,3.64,"LB / HEAD, LIVE BASIS",3.64,"HEAD × LB / HEAD, LIVE BASIS",1969-02-01,1.9361702127659574e-08,2,1.1688227823578812,1.9607843137255054,1.753425252454603e-08
1969,MAR,203251000,HEAD,3.64,"LB / HEAD, LIVE BASIS",3.64,"HEAD × LB / HEAD, LIVE BASIS",1969-03-01,1.7908890977166166e-08,3,6.332855513586466,1.392757660167132,1.746153885485611e-08
1969,APR,222620000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.6499999999999995,"HEAD × LB / HEAD, LIVE BASIS",1969-04-01,1.6395651783307877e-08,4,8.72346868010041,0.550964187327807,1.7350489415943897e-08
1969,MAY,234720000,HEAD,3.64,"LB / HEAD, LIVE BASIS",3.6400000000000006,"HEAD × LB / HEAD, LIVE BASIS",1969-05-01,1.550783912747103e-08,5,5.790249376895784,0.5524861878453136,1.7283172674207774e-08
1969,JUN,238033000,HEAD,3.61,"LB / HEAD, LIVE BASIS",3.61,"HEAD × LB / HEAD, LIVE BASIS",1969-06-01,1.516596438308974e-08,6,15.222231903420358,1.4044943820224587,1.7110958647944692e-08
1969,JUL,237403000,HEAD,3.54,"LB / HEAD, LIVE BASIS",3.5399999999999996,"HEAD × LB / HEAD, LIVE BASIS",1969-07-01,1.4911353268492815e-08,7,2.61239026793858,-1.1102230246251565e-14,1.707849675281102e-08
1969,AUG,235737000,HEAD,3.6,"LB / HEAD, LIVE BASIS",3.6000000000000005,"HEAD × LB / HEAD, LIVE BASIS",1969-08-01,1.5271255678998207e-08,8,2.0051665274790853,2.272727272727293,1.708182607681501e-08
1969,SEP,231757000,HEAD,3.73,"LB / HEAD, LIVE BASIS",3.73,"HEAD × LB / HEAD, LIVE BASIS",1969-09-01,1.6094443749271866e-08,9,13.580761200905677,1.6348773841961872,1.69241846909118e-08
1969,OCT,247518000,HEAD,3.72,"LB / HEAD, LIVE BASIS",3.72,"HEAD × LB / HEAD, LIVE BASIS",1969-10-01,1.5029209996848716e-08,10,6.091115997376839,0.26954177897575704,1.6851469304723498e-08
1969,NOV,186415000,HEAD,3.72,"LB / HEAD, LIVE BASIS",3.72,"HEAD × LB / HEAD, LIVE BASIS",1969-11-01,1.995547568596948e-08,11,4.6816563528341515,1.0869565217391353,1.6792333794444327e-08
