Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2012,AUG,1562312000,HEAD,9081800000,"LB, LIVE BASIS",-4258138952109551616,"HEAD × LB, LIVE BASIS"
2012,SEP,1362151000,HEAD,8005857000,"LB, LIVE BASIS",-7541557955302551616,"HEAD × LB, LIVE BASIS"
2012,OCT,1527848000,HEAD,9079465000,"LB, LIVE BASIS",-4574701632389551616,"HEAD × LB, LIVE BASIS"
2012,NOV,1379516000,HEAD,8201930000,"LB, LIVE BASIS",-7132050407829551616,"HEAD × LB, LIVE BASIS"
2012,DEC,1320373000,HEAD,7778644000,"LB, LIVE BASIS",-8176032559497551616,"HEAD × LB, LIVE BASIS"
2011,JAN,1461838000,HEAD,8543704000,"LB, LIVE BASIS",-5957232905757551616,"HEAD × LB, LIVE BASIS"
2011,FEB,1351715000,HEAD,7782387000,"LB, LIVE BASIS",-7927174830004551616,"HEAD × LB, LIVE BASIS"
2011,MAR,1567486000,HEAD,9013496000,"LB, LIVE BASIS",-4318215282653551616,"HEAD × LB, LIVE BASIS"
2011,APR,1408852000,HEAD,8105577000,"LB, LIVE BASIS",-7027185706105551616,"HEAD × LB, LIVE BASIS"
2011,MAY,1528535000,HEAD,8872969000,"LB, LIVE BASIS",-4884100403294551616,"HEAD × LB, LIVE BASIS"
2011,JUN,1544313000,HEAD,8977399000,"LB, LIVE BASIS",-4582830091822551616,"HEAD × LB, LIVE BASIS"
2011,JUL,1435416000,HEAD,8289630000,"LB, LIVE BASIS",-6547676537629551616,"HEAD × LB, LIVE BASIS"
2011,AUG,1575241000,HEAD,9110421000,"LB, LIVE BASIS",-4095635387248551616,"HEAD × LB, LIVE BASIS"
2011,SEP,1482150000,HEAD,8701810000,"LB, LIVE BASIS",-5549356382209551616,"HEAD × LB, LIVE BASIS"
2011,OCT,1439195000,HEAD,8455277000,"LB, LIVE BASIS",-6277951691694551616,"HEAD × LB, LIVE BASIS"
2011,NOV,1365276000,HEAD,7946676000,"LB, LIVE BASIS",-7597338051133551616,"HEAD × LB, LIVE BASIS"
2011,DEC,1353276000,HEAD,7825262000,"LB, LIVE BASIS",-7857004815397551616,"HEAD × LB, LIVE BASIS"
2010,JAN,1379054000,HEAD,7767137000,"LB, LIVE BASIS",-7735442725311551616,"HEAD × LB, LIVE BASIS"
