DATE,BR_CAML3_PRICE
2021-05-06,9.92
2021-05-07,9.65
2021-05-10,9.72
2021-05-11,9.54
2021-05-12,9.34
2021-05-13,9.38
2021-05-14,9.41
2021-05-17,9.52
2021-05-18,9.42
2021-05-19,9.6
2021-05-20,9.65
2021-05-21,9.64
2021-05-24,9.93
2021-05-25,9.99
2021-05-26,9.83
2021-05-27,9.94
2021-05-28,9.9
2021-05-31,10.05
2021-06-01,10.23
2021-06-02,10.18
2021-06-04,10.18
2021-06-07,10.09
2021-06-08,9.91
2021-06-09,10.01
2021-06-10,10.1
2021-06-11,9.94
2021-06-14,9.99
2021-06-15,10.0
2021-06-16,9.93
2021-06-17,9.89
2021-06-18,9.91
2021-06-21,9.8
2021-06-22,9.78
2021-06-23,9.8
2021-06-24,9.84
2021-06-25,9.69
2021-06-28,9.71
2021-06-29,9.66
2021-06-30,9.54
2021-07-01,9.5
2021-07-02,9.7
2021-07-05,9.82
2021-07-06,9.56
2021-07-07,9.79
2021-07-08,9.59
2021-07-12,9.57
2021-07-13,9.63
2021-07-14,9.55
2021-07-15,9.54
2021-07-16,9.54
2021-07-19,9.43
2021-07-20,9.71
2021-07-21,9.46
2021-07-22,9.42
2021-07-23,9.31
2021-07-26,9.17
2021-07-27,9.02
2021-07-28,9.2
2021-07-29,9.16
2021-07-30,8.9
2021-08-02,9.09
2021-08-03,8.97
2021-08-04,8.96
2021-08-05,8.9
2021-08-06,8.9
2021-08-09,8.9
2021-08-10,8.86
2021-08-11,8.86
2021-08-12,8.7
2021-08-13,8.71
2021-08-16,8.65
2021-08-17,8.91
2021-08-18,9.52
2021-08-19,9.55
2021-08-20,9.65
2021-08-23,9.62
2021-08-24,9.66
2021-08-25,9.64
2021-08-26,9.5
2021-08-27,9.65
2021-08-30,9.52
2021-08-31,9.5
2021-09-01,9.87
2021-09-02,9.58
2021-09-03,9.28
2021-09-06,9.44
2021-09-08,9.18
2021-09-09,9.25
2021-09-10,9.09
2021-09-13,9.4
2021-09-14,9.64
2021-09-15,9.35
2021-09-16,9.53
2021-09-17,9.55
2021-09-20,9.39
2021-09-21,9.52
2021-09-22,9.56
2021-09-23,9.6
2021-09-24,9.61
2021-09-27,10.07
2021-09-28,9.72
2021-09-29,9.71
2021-09-30,9.87
2021-10-01,10.36
2021-10-04,10.08
2021-10-05,9.94
2021-10-06,9.65
2021-10-07,9.59
2021-10-08,9.53
2021-10-11,9.57
2021-10-13,10.05
2021-10-14,10.13
2021-10-15,10.2
2021-10-18,10.24
2021-10-19,10.24
2021-10-20,9.86
2021-10-21,9.92
2021-10-22,9.75
2021-10-25,9.9
2021-10-26,9.67
2021-10-27,9.68
2021-10-28,9.81
2021-10-29,9.68
2021-11-01,9.76
2021-11-03,10.24
2021-11-04,10.5
2021-11-05,10.06
2021-11-08,10.3
2021-11-09,10.25
2021-11-10,10.3
2021-11-11,10.36
2021-11-12,10.17
2021-11-16,10.15
2021-11-17,9.83
2021-11-18,9.62
2021-11-19,9.57
2021-11-22,9.37
2021-11-23,9.47
2021-11-24,9.37
2021-11-25,9.4
2021-11-26,9.5
2021-11-29,9.4
2021-11-30,9.57
2021-12-01,9.42
2021-12-02,9.42
2021-12-03,9.62
2021-12-06,9.53
2021-12-07,9.77
2021-12-08,9.82
2021-12-09,9.74
2021-12-10,9.73
2021-12-13,9.79
2021-12-14,9.97
2021-12-15,9.94
2021-12-16,10.31
2021-12-17,10.21
2021-12-20,10.18
2021-12-21,10.17
2021-12-22,10.01
2021-12-23,10.09
2021-12-27,9.88
2021-12-28,10.98
2021-12-29,11.02
2021-12-30,11.38
2022-01-03,11.26
2022-01-04,11.04
2022-01-05,11.01
2022-01-06,10.89
2022-01-07,10.92
2022-01-10,10.8
2022-01-11,10.56
2022-01-12,10.75
2022-01-13,11.05
2022-01-14,9.99
2022-01-17,9.33
2022-01-18,9.15
2022-01-19,9.1
2022-01-20,9.4
2022-01-21,9.14
2022-01-24,8.95
2022-01-25,9.19
2022-01-26,8.93
2022-01-27,9.01
2022-01-28,8.88
2022-01-31,8.94
2022-02-01,9.19
2022-02-02,9.26
2022-02-03,9.15
2022-02-04,9.08
2022-02-07,9.07
2022-02-08,9.09
2022-02-09,9.08
2022-02-10,9.12
2022-02-11,9.05
2022-02-14,9.19
2022-02-15,9.17
2022-02-16,9.2
2022-02-17,9.39
2022-02-18,9.29
2022-02-21,9.03
2022-02-22,9.17
2022-02-23,9.34
2022-02-24,9.41
2022-02-25,9.15
2022-03-02,9.25
2022-03-03,9.43
2022-03-04,9.06
2022-03-07,9.04
2022-03-08,9.03
2022-03-09,9.6
2022-03-10,9.3
2022-03-11,9.04
2022-03-14,8.93
2022-03-15,8.98
2022-03-16,9.0
2022-03-17,9.13
2022-03-18,9.31
2022-03-21,9.27
2022-03-22,9.21
2022-03-23,9.09
2022-03-24,9.21
2022-03-25,9.29
2022-03-28,9.29
2022-03-29,9.71
2022-03-30,9.65
2022-03-31,9.65
2022-04-01,9.98
2022-04-04,10.06
2022-04-05,10.06
2022-04-06,10.02
2022-04-07,9.93
2022-04-08,9.7
2022-04-11,9.26
2022-04-12,9.12
2022-04-13,9.02
2022-04-14,8.98
2022-04-18,8.9
2022-04-19,9.07
2022-04-20,9.02
2022-04-22,8.86
2022-04-25,8.79
2022-04-26,8.82
2022-04-27,8.87
2022-04-28,8.8
2022-04-29,8.58
2022-05-02,8.48
2022-05-03,8.51
2022-05-04,8.64
2022-05-05,8.17
2022-05-06,7.98
2022-05-09,8.18
2022-05-10,8.2
2022-05-11,8.07
2022-05-12,8.28
2022-05-13,8.26
2022-05-16,8.12
2022-05-17,8.12
2022-05-18,8.05
2022-05-19,7.82
2022-05-20,7.98
2022-05-23,8.49
2022-05-24,8.99
2022-05-25,8.81
2022-05-26,8.87
2022-05-27,9.07
