CostName,R$_kg,Year,State,Month,Date
Depreciação,0.04,2010,MS,11,2010-11-01
Custo de capital,0.03,2010,MS,11,2010-11-01
Total,1.5,2010,MS,11,2010-11-01
Ração,1.1,2010,MS,12,2010-12-01
Genética,0.18,2010,MS,12,2010-12-01
Mão de obra,0.06,2010,MS,12,2010-12-01
Sanidade,0.0,2010,MS,12,2010-12-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,12,2010-12-01
Manutenção | Seguro | Funrural,0.01,2010,MS,12,2010-12-01
Transporte,0.03,2010,MS,12,2010-12-01
Outros,0.0,2010,MS,12,2010-12-01
Depreciação,0.04,2010,MS,12,2010-12-01
Custo de capital,0.03,2010,MS,12,2010-12-01
Total,1.53,2010,MS,12,2010-12-01
Ração,0.82,2010,SC,1,2010-01-01
Genética,0.21,2010,SC,1,2010-01-01
Mão de obra,0.08,2010,SC,1,2010-01-01
Sanidade,0.0,2010,SC,1,2010-01-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,1,2010-01-01
Manutenção | Seguro | Funrural,0.01,2010,SC,1,2010-01-01
Transporte,0.06,2010,SC,1,2010-01-01
Outros,0.0,2010,SC,1,2010-01-01
Depreciação,0.04,2010,SC,1,2010-01-01
Custo de capital,0.03,2010,SC,1,2010-01-01
Total,1.31,2010,SC,1,2010-01-01
Ração,0.83,2010,SC,2,2010-02-01
Genética,0.21,2010,SC,2,2010-02-01
Mão de obra,0.08,2010,SC,2,2010-02-01
Sanidade,0.0,2010,SC,2,2010-02-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,2,2010-02-01
Manutenção | Seguro | Funrural,0.01,2010,SC,2,2010-02-01
Transporte,0.04,2010,SC,2,2010-02-01
Outros,0.0,2010,SC,2,2010-02-01
Depreciação,0.04,2010,SC,2,2010-02-01
Custo de capital,0.03,2010,SC,2,2010-02-01
Total,1.29,2010,SC,2,2010-02-01
Ração,0.74,2010,SC,3,2010-03-01
Genética,0.23,2010,SC,3,2010-03-01
Mão de obra,0.08,2010,SC,3,2010-03-01
Sanidade,0.0,2010,SC,3,2010-03-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,3,2010-03-01
Manutenção | Seguro | Funrural,0.01,2010,SC,3,2010-03-01
Transporte,0.04,2010,SC,3,2010-03-01
Outros,0.0,2010,SC,3,2010-03-01
Depreciação,0.04,2010,SC,3,2010-03-01
Custo de capital,0.03,2010,SC,3,2010-03-01
Total,1.22,2010,SC,3,2010-03-01
Ração,0.69,2010,SC,4,2010-04-01
Genética,0.26,2010,SC,4,2010-04-01
Mão de obra,0.08,2010,SC,4,2010-04-01
Sanidade,0.0,2010,SC,4,2010-04-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,4,2010-04-01
Manutenção | Seguro | Funrural,0.01,2010,SC,4,2010-04-01
Transporte,0.04,2010,SC,4,2010-04-01
Outros,0.0,2010,SC,4,2010-04-01
Depreciação,0.04,2010,SC,4,2010-04-01
Custo de capital,0.03,2010,SC,4,2010-04-01
Total,1.21,2010,SC,4,2010-04-01
Ração,0.7,2010,SC,5,2010-05-01
Genética,0.28,2010,SC,5,2010-05-01
Mão de obra,0.08,2010,SC,5,2010-05-01
Sanidade,0.0,2010,SC,5,2010-05-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,5,2010-05-01
Manutenção | Seguro | Funrural,0.01,2010,SC,5,2010-05-01
Transporte,0.04,2010,SC,5,2010-05-01
Outros,0.0,2010,SC,5,2010-05-01
Depreciação,0.04,2010,SC,5,2010-05-01
Custo de capital,0.03,2010,SC,5,2010-05-01
Total,1.23,2010,SC,5,2010-05-01
Ração,0.7,2010,SC,6,2010-06-01
Genética,0.28,2010,SC,6,2010-06-01
Mão de obra,0.08,2010,SC,6,2010-06-01
Sanidade,0.0,2010,SC,6,2010-06-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,6,2010-06-01
Manutenção | Seguro | Funrural,0.01,2010,SC,6,2010-06-01
Transporte,0.04,2010,SC,6,2010-06-01
Outros,0.0,2010,SC,6,2010-06-01
Depreciação,0.04,2010,SC,6,2010-06-01
Custo de capital,0.03,2010,SC,6,2010-06-01
Total,1.24,2010,SC,6,2010-06-01
Ração,0.71,2010,SC,7,2010-07-01
Genética,0.27,2010,SC,7,2010-07-01
Mão de obra,0.08,2010,SC,7,2010-07-01
Sanidade,0.0,2010,SC,7,2010-07-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,7,2010-07-01
Manutenção | Seguro | Funrural,0.01,2010,SC,7,2010-07-01
Transporte,0.04,2010,SC,7,2010-07-01
Outros,0.0,2010,SC,7,2010-07-01
Depreciação,0.04,2010,SC,7,2010-07-01
Custo de capital,0.03,2010,SC,7,2010-07-01
Total,1.23,2010,SC,7,2010-07-01
Ração,0.73,2010,SC,8,2010-08-01
Genética,0.27,2010,SC,8,2010-08-01
Mão de obra,0.08,2010,SC,8,2010-08-01
Sanidade,0.0,2010,SC,8,2010-08-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,8,2010-08-01
Manutenção | Seguro | Funrural,0.01,2010,SC,8,2010-08-01
Transporte,0.04,2010,SC,8,2010-08-01
Outros,0.0,2010,SC,8,2010-08-01
Depreciação,0.04,2010,SC,8,2010-08-01
Custo de capital,0.03,2010,SC,8,2010-08-01
Total,1.27,2010,SC,8,2010-08-01
Ração,0.78,2010,SC,9,2010-09-01
Genética,0.27,2010,SC,9,2010-09-01
Mão de obra,0.08,2010,SC,9,2010-09-01
Sanidade,0.0,2010,SC,9,2010-09-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,9,2010-09-01
Manutenção | Seguro | Funrural,0.01,2010,SC,9,2010-09-01
Transporte,0.04,2010,SC,9,2010-09-01
Outros,0.0,2010,SC,9,2010-09-01
Depreciação,0.04,2010,SC,9,2010-09-01
Custo de capital,0.03,2010,SC,9,2010-09-01
Total,1.31,2010,SC,9,2010-09-01
Ração,0.83,2010,SC,10,2010-10-01
Genética,0.28,2010,SC,10,2010-10-01
Mão de obra,0.08,2010,SC,10,2010-10-01
Sanidade,0.0,2010,SC,10,2010-10-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,10,2010-10-01
Manutenção | Seguro | Funrural,0.01,2010,SC,10,2010-10-01
Transporte,0.04,2010,SC,10,2010-10-01
Outros,0.0,2010,SC,10,2010-10-01
Depreciação,0.04,2010,SC,10,2010-10-01
Custo de capital,0.03,2010,SC,10,2010-10-01
Total,1.37,2010,SC,10,2010-10-01
Ração,0.87,2010,SC,11,2010-11-01
Genética,0.28,2010,SC,11,2010-11-01
Mão de obra,0.08,2010,SC,11,2010-11-01
Sanidade,0.0,2010,SC,11,2010-11-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,11,2010-11-01
Manutenção | Seguro | Funrural,0.01,2010,SC,11,2010-11-01
Transporte,0.04,2010,SC,11,2010-11-01
Outros,0.0,2010,SC,11,2010-11-01
