Year,Month,Heads,Heads Unit
1969,MAR,406502000,HEAD
1969,APR,445240000,HEAD
1969,MAY,469440000,HEAD
1969,JUN,476066000,HEAD
1969,JUL,474806000,HEAD
1969,AUG,471474000,HEAD
1969,SEP,463514000,HEAD
1969,OCT,495036000,HEAD
1969,NOV,372830000,HEAD
1969,DEC,442972000,HEAD
1968,JAN,413100000,HEAD
1968,FEB,371656000,HEAD
1968,MAR,382292000,HEAD
1968,APR,409516000,HEAD
1968,MAY,443746000,HEAD
1968,JUN,413172000,HEAD
1968,JUL,462718000,HEAD
1968,AUG,462206000,HEAD
1968,SEP,408092000,HEAD
1968,OCT,466614000,HEAD
1968,NOV,356156000,HEAD
1968,DEC,385038000,HEAD
1967,JAN,409342000,HEAD
1967,FEB,353768000,HEAD
1967,MAR,410044000,HEAD
1967,APR,392776000,HEAD
1967,MAY,462844000,HEAD
1967,JUN,465080000,HEAD
1967,JUL,407544000,HEAD
1967,AUG,480460000,HEAD
1967,SEP,418946000,HEAD
1967,OCT,440280000,HEAD
1967,NOV,376390000,HEAD
1967,DEC,361712000,HEAD
1966,JAN,348112000,HEAD
1966,FEB,345380000,HEAD
1966,MAR,376668000,HEAD
1966,APR,382510000,HEAD
1966,MAY,402633000,HEAD
1966,JUN,438566000,HEAD
1966,JUL,403360000,HEAD
1966,AUG,458155000,HEAD
1966,SEP,426388000,HEAD
1966,OCT,416146000,HEAD
1966,NOV,375858000,HEAD
1966,DEC,398484000,HEAD
1965,JAN,339052000,HEAD
1965,FEB,303360000,HEAD
1965,MAR,348344000,HEAD
1965,APR,352064000,HEAD
1965,MAY,362300000,HEAD
1965,JUN,402258000,HEAD
1965,JUL,397360000,HEAD
1965,AUG,410706000,HEAD
1965,SEP,394444000,HEAD
1965,OCT,381268000,HEAD
1965,NOV,336390000,HEAD
1965,DEC,357210000,HEAD
1964,JAN,336582000,HEAD
1964,FEB,295458000,HEAD
1964,MAR,316438000,HEAD
1964,APR,341632000,HEAD
1964,MAY,352108000,HEAD
1964,JUN,383224000,HEAD
1964,JUL,372884000,HEAD
1964,AUG,371152000,HEAD
1964,SEP,360454000,HEAD
1964,OCT,356128000,HEAD
1964,NOV,294186000,HEAD
1964,DEC,321414000,HEAD
1963,JAN,322616000,HEAD
1963,FEB,260168000,HEAD
1963,MAR,289622000,HEAD
1963,APR,314904000,HEAD
1963,MAY,351750000,HEAD
1963,JUN,351544000,HEAD
1963,JUL,379194000,HEAD
1963,AUG,374882000,HEAD
1963,SEP,332334000,HEAD
1963,OCT,351448000,HEAD
1963,NOV,282996000,HEAD
1963,DEC,316386000,HEAD
1962,JAN,269426000,HEAD
1962,FEB,236448000,HEAD
1962,MAR,287966000,HEAD
1962,APR,303422000,HEAD
1962,MAY,367266000,HEAD
1962,JUN,360132000,HEAD
1962,JUL,345428000,HEAD
1962,AUG,362976000,HEAD
1962,SEP,300850000,HEAD
1962,OCT,356552000,HEAD
1962,NOV,297104000,HEAD
1962,DEC,281780000,HEAD
1961,JAN,259832000,HEAD
1961,FEB,222892000,HEAD
1961,MAR,283394000,HEAD
1961,APR,299248000,HEAD
1961,MAY,357508000,HEAD
1961,JUN,376914000,HEAD
1961,JUL,348446000,HEAD
1961,AUG,369980000,HEAD
1961,SEP,331730000,HEAD
1961,OCT,332988000,HEAD
1961,NOV,266936000,HEAD
1961,DEC,240250000,HEAD
1960,JAN,226464000,HEAD
1960,FEB,226464000,HEAD
1960,MAR,253202000,HEAD
1960,APR,258164000,HEAD
1960,MAY,284066000,HEAD
1960,JUN,298438000,HEAD
1960,JUL,291622000,HEAD
1960,AUG,346610000,HEAD
1960,SEP,309554000,HEAD
1960,OCT,291858000,HEAD
1960,NOV,255472000,HEAD
1960,DEC,246138000,HEAD
