memberStateCode,memberStateName,year,month,category,tonnes,heads,kgPerHead
AT,Austria,2022,October,Bullock,1.34,3.7,362.16
AT,Austria,2022,September,Bullock,1.15,3.12,368.59
AT,Austria,2022,August,Bullock,0.76,2.06,368.93
AT,Austria,2022,July,Bullock,0.77,2.08,370.19
AT,Austria,2022,June,Bullock,0.98,2.64,371.21
AT,Austria,2022,May,Bullock,1.19,3.25,366.15
AT,Austria,2022,April,Bullock,1.2,3.26,368.1
AT,Austria,2022,March,Bullock,1.48,4.01,369.08
AT,Austria,2022,February,Bullock,1.11,2.98,372.48
AT,Austria,2022,January,Bullock,1.03,2.81,366.55
AT,Austria,2021,December,Bullock,1.12,3.09,362.46
AT,Austria,2021,November,Bullock,1.5,4.17,359.71
AT,Austria,2021,October,Bullock,1.2,3.38,355.03
AT,Austria,2021,September,Bullock,1.02,2.76,369.57
AT,Austria,2021,August,Bullock,0.83,2.24,370.54
AT,Austria,2021,July,Bullock,0.86,2.31,372.29
AT,Austria,2021,June,Bullock,0.95,2.55,372.55
AT,Austria,2021,May,Bullock,1.08,2.94,367.35
AT,Austria,2021,April,Bullock,1.18,3.19,369.91
AT,Austria,2021,March,Bullock,1.43,3.87,369.51
AT,Austria,2021,February,Bullock,1.01,2.77,364.62
AT,Austria,2021,January,Bullock,0.88,2.44,360.66
AT,Austria,2020,December,Bullock,1.09,3.0,363.33
AT,Austria,2020,November,Bullock,1.3,3.56,365.17
AT,Austria,2020,October,Bullock,1.29,3.55,363.38
AT,Austria,2020,September,Bullock,0.93,2.56,363.28
AT,Austria,2020,August,Bullock,0.95,2.52,376.98
AT,Austria,2020,July,Bullock,0.82,2.2,372.73
AT,Austria,2020,June,Bullock,0.91,2.48,366.94
AT,Austria,2020,May,Bullock,0.98,2.68,365.67
AT,Austria,2020,April,Bullock,1.03,2.84,362.68
AT,Austria,2020,March,Bullock,1.28,3.48,367.82
AT,Austria,2020,February,Bullock,1.01,2.81,359.43
AT,Austria,2020,January,Bullock,1.12,3.12,358.97
AT,Austria,2019,December,Bullock,1.2,3.36,357.14
AT,Austria,2019,November,Bullock,1.28,3.62,353.59
AT,Austria,2019,October,Bullock,1.35,3.76,359.04
AT,Austria,2019,September,Bullock,0.95,2.63,361.22
AT,Austria,2019,August,Bullock,0.96,2.64,363.64
AT,Austria,2019,July,Bullock,0.93,2.57,361.87
AT,Austria,2019,June,Bullock,0.85,2.32,366.38
AT,Austria,2019,May,Bullock,1.11,3.07,361.56
AT,Austria,2019,April,Bullock,1.28,3.53,362.61
AT,Austria,2019,March,Bullock,1.21,3.34,362.28
AT,Austria,2019,February,Bullock,1.07,3.04,351.97
AT,Austria,2019,January,Bullock,1.22,3.39,359.88
AT,Austria,2018,December,Bullock,1.23,3.44,357.56
AT,Austria,2018,November,Bullock,1.48,4.15,356.63
AT,Austria,2018,October,Bullock,1.2,3.4,352.94
AT,Austria,2018,September,Bullock,0.99,2.79,354.84
AT,Austria,2018,August,Bullock,0.9,2.55,352.94
AT,Austria,2018,July,Bullock,0.87,2.44,356.56
AT,Austria,2018,June,Bullock,1.07,2.98,359.06
AT,Austria,2018,May,Bullock,1.07,3.0,356.67
AT,Austria,2018,April,Bullock,1.23,3.4,361.76
AT,Austria,2018,March,Bullock,1.22,3.44,354.65
AT,Austria,2018,February,Bullock,0.96,2.68,358.21
AT,Austria,2018,January,Bullock,1.13,3.19,354.23
AT,Austria,2017,December,Bullock,1.11,3.12,355.77
AT,Austria,2017,November,Bullock,1.29,3.73,345.84
AT,Austria,2017,October,Bullock,1.19,3.38,352.07
AT,Austria,2017,September,Bullock,0.9,2.54,354.33
AT,Austria,2017,August,Bullock,0.8,2.24,357.14
AT,Austria,2017,July,Bullock,0.77,2.13,361.5
AT,Austria,2017,June,Bullock,0.88,2.43,362.14
AT,Austria,2017,May,Bullock,1.02,2.83,360.42
AT,Austria,2017,April,Bullock,0.98,2.71,361.62
AT,Austria,2017,March,Bullock,1.15,3.2,359.38
AT,Austria,2017,February,Bullock,0.98,2.7,362.96
AT,Austria,2017,January,Bullock,0.91,2.51,362.55
AT,Austria,2016,December,Bullock,1.05,2.99,351.17
AT,Austria,2016,November,Bullock,1.28,3.57,358.54
AT,Austria,2016,October,Bullock,1.1,3.09,355.99
AT,Austria,2016,September,Bullock,0.85,2.38,357.14
AT,Austria,2016,August,Bullock,0.76,2.13,356.81
AT,Austria,2016,July,Bullock,0.71,1.93,367.88
AT,Austria,2016,June,Bullock,0.77,2.12,363.21
