DATE,GLOBAL_CURNCY_MXN
2005-10-07,10.7943
2005-10-10,10.7908
2005-10-11,10.8153
2005-10-12,10.9285
2005-10-13,10.9535
2005-10-14,10.8915
2005-10-17,10.8467
2005-10-18,10.86
2005-10-19,10.8385
2005-10-20,10.8698
2005-10-21,10.8743
2005-10-24,10.8505
2005-10-25,10.873
2005-10-26,10.9044
2005-10-27,10.899
2005-10-28,10.8245
2005-10-31,10.787
2005-11-01,10.7625
2005-11-02,10.7375
2005-11-03,10.762
2005-11-04,10.7538
2005-11-07,10.7078
2005-11-08,10.712
2005-11-09,10.7323
2005-11-10,10.6865
2005-11-11,10.6778
2005-11-14,10.6672
2005-11-15,10.6445
2005-11-16,10.6698
2005-11-17,10.6461
2005-11-18,10.6628
2005-11-21,10.6483
2005-11-22,10.6245
2005-11-23,10.6075
2005-11-24,10.6108
2005-11-25,10.6088
2005-11-28,10.5568
2005-11-29,10.5885
2005-11-30,10.558
2005-12-01,10.5033
2005-12-02,10.4709
2005-12-05,10.4619
2005-12-06,10.4217
2005-12-07,10.4655
2005-12-08,10.5388
2005-12-09,10.643
2005-12-12,10.6328
2005-12-13,10.6225
2005-12-14,10.7315
2005-12-15,10.7495
2005-12-16,10.7435
2005-12-19,10.7303
2005-12-20,10.6635
2005-12-21,10.6183
2005-12-22,10.6603
2005-12-23,10.688
2005-12-26,10.6845
2005-12-27,10.7555
2005-12-28,10.7783
2005-12-29,10.661
2005-12-30,10.635
2006-01-02,10.636
2006-01-03,10.6278
2006-01-04,10.582
2006-01-05,10.6323
2006-01-06,10.5624
2006-01-09,10.5794
2006-01-10,10.6315
2006-01-11,10.5925
2006-01-12,10.5853
2006-01-13,10.5618
2006-01-16,10.5208
2006-01-17,10.5935
2006-01-18,10.5565
2006-01-19,10.5025
2006-01-20,10.5452
2006-01-23,10.5383
2006-01-24,10.4978
2006-01-25,10.5108
2006-01-26,10.4955
2006-01-27,10.4439
2006-01-30,10.4518
2006-01-31,10.4498
2006-02-01,10.4608
2006-02-02,10.4985
2006-02-03,10.4883
2006-02-06,10.4605
2006-02-07,10.5493
2006-02-08,10.5333
2006-02-09,10.4863
2006-02-10,10.5055
2006-02-13,10.5515
2006-02-14,10.5095
2006-02-15,10.542
2006-02-16,10.4808
2006-02-17,10.4353
2006-02-20,10.4463
2006-02-21,10.4823
2006-02-22,10.4633
2006-02-23,10.4845
2006-02-24,10.4818
2006-02-27,10.4755
2006-02-28,10.4883
2006-03-01,10.4753
2006-03-02,10.5285
2006-03-03,10.5873
2006-03-06,10.6955
2006-03-07,10.6663
2006-03-08,10.7163
2006-03-09,10.722
2006-03-10,10.6887
2006-03-13,10.73
2006-03-14,10.67
2006-03-15,10.645
2006-03-16,10.643
2006-03-17,10.6838
2006-03-20,10.7806
2006-03-21,10.848
2006-03-22,10.8693
2006-03-23,10.9088
2006-03-24,10.8713
2006-03-27,10.9685
2006-03-28,11.016
2006-03-29,10.9424
2006-03-30,10.9318
2006-03-31,10.874
2006-04-03,10.852
