DATE,US_SOY_NET_LONG
2016-02-09,-70539.0
2016-02-16,-55581.0
2016-02-23,-29377.0
2016-03-01,-77991.0
2016-03-08,-42292.0
2016-03-15,13461.0
2016-03-22,45265.0
2016-03-29,68858.0
2016-04-05,61060.0
2016-04-12,83197.0
2016-04-19,132711.0
2016-04-26,181080.0
2016-05-03,193524.0
2016-05-10,229516.0
2016-05-17,226002.0
2016-05-24,224577.0
2016-05-31,233689.0
2016-06-07,242177.0
2016-06-14,247108.0
2016-06-21,242483.0
2016-06-28,252074.0
2016-07-05,228234.0
2016-07-12,216106.0
2016-07-19,202146.0
2016-07-26,181471.0
2016-08-02,164701.0
2016-08-09,170047.0
2016-08-16,156920.0
2016-08-23,179379.0
2016-08-30,146546.0
2016-09-06,132088.0
2016-09-13,118952.0
2016-09-20,125216.0
2016-09-27,98470.0
2016-10-04,104940.0
2016-10-11,118835.0
2016-10-18,139773.0
2016-10-25,124977.0
2016-11-01,139637.0
2016-11-08,152671.0
2016-11-15,119340.0
2016-11-22,140245.0
2016-11-29,164173.0
2016-12-06,155435.0
2016-12-13,151994.0
2016-12-20,136574.0
2016-12-27,133733.0
2017-01-03,125830.0
2017-01-10,119102.0
2017-01-17,154765.0
2017-01-24,181011.0
2017-01-31,168449.0
2017-02-07,160533.0
2017-02-14,176321.0
2017-02-21,166769.0
2017-02-28,148192.0
2017-03-07,143379.0
2017-03-14,105478.0
2017-03-21,70957.0
2017-03-28,51665.0
2017-04-04,22157.0
2017-04-11,54.0
2017-04-18,-12673.0
2017-04-25,-43737.0
2017-05-02,-39783.0
2017-05-09,-29887.0
2017-05-16,-28823.0
2017-05-23,-47931.0
2017-05-30,-63347.0
2017-06-06,-66882.0
2017-06-13,-45956.0
2017-06-20,-50490.0
2017-06-27,-94540.0
2017-07-04,-59429.0
2017-07-11,18000.0
2017-07-18,40831.0
2017-07-25,58785.0
2017-08-01,54705.0
2017-08-08,41412.0
2017-08-15,33285.0
2017-08-22,18038.0
2017-08-29,-14707.0
2017-09-05,-2044.0
2017-09-12,3592.0
2017-09-19,20124.0
2017-09-26,34028.0
2017-10-03,38134.0
2017-10-10,44243.0
2017-10-17,81884.0
2017-10-24,56493.0
2017-10-31,67872.0
2017-11-07,70814.0
2017-11-14,51887.0
2017-11-21,52243.0
2017-11-28,62873.0
2017-12-05,92585.0
2017-12-12,55245.0
2017-12-19,10282.0
2017-12-26,-23331.0
2018-01-02,-44754.0
2018-01-09,-65433.0
2018-01-16,-78648.0
2018-01-23,-67090.0
2018-01-30,-12799.0
2018-02-06,1893.0
2018-02-13,51163.0
2018-02-20,106866.0
2018-02-27,155357.0
2018-03-06,194877.0
2018-03-13,201382.0
2018-03-20,197820.0
2018-03-27,192800.0
2018-04-03,210461.0
2018-04-10,210265.0
2018-04-17,224357.0
2018-04-24,193022.0
2018-05-01,203160.0
2018-05-08,172647.0
2018-05-15,155648.0
2018-05-22,143470.0
2018-05-29,150233.0
2018-06-05,126949.0
2018-06-12,91656.0
2018-06-19,58179.0
2018-06-26,1285.0
2018-07-03,-4729.0
2018-07-10,5147.0
2018-07-17,1150.0
2018-07-24,-10814.0
2018-07-31,-14083.0
2018-08-07,-18678.0
2018-08-14,-35761.0
2018-08-21,-17804.0
2018-08-28,-40565.0
2018-09-04,-55657.0
2018-09-11,-66552.0
2018-09-18,-69526.0
2018-09-25,-54861.0
2018-10-02,-39027.0
2018-10-09,-41294.0
2018-10-16,-29774.0
2018-10-23,-31539.0
2018-10-30,-64215.0
2018-11-06,-34013.0
2018-11-13,-41958.0
2018-11-20,-42347.0
2018-11-27,-39846.0
2018-12-04,8951.0
2018-12-11,5931.0
2018-12-18,14531.0
2018-12-25,4110.0
2019-01-01,-2094.0
2019-01-08,10774.0
2019-01-15,-4107.0
2019-01-22,-11837.0
2019-01-29,8572.0
2019-02-05,6892.0
2019-02-12,-5322.0
2019-02-19,-28319.0
2019-02-26,-22972.0
2019-03-05,-30931.0
2019-03-12,-65967.0
2019-03-19,-40480.0
2019-03-26,-27511.0
2019-04-02,-44040.0
2019-04-09,-38643.0
2019-04-16,-56906.0
2019-04-23,-86500.0
2019-04-30,-118335.0
2019-05-07,-117511.0
2019-05-14,-123395.0
2019-05-21,-99941.0
2019-05-28,-76983.0
2019-06-04,-47893.0
2019-06-11,-47669.0
2019-06-18,-2734.0
2019-06-25,-1868.0
2019-07-02,3152.0
2019-07-09,-1238.0
2019-07-16,5184.0
2019-07-23,4120.0
2019-07-30,-11283.0
2019-08-06,-25477.0
2019-08-13,-17647.0
2019-08-20,-21740.0
2019-08-27,-29967.0
2019-09-03,-24984.0
2019-09-10,-46627.0
2019-09-17,-9796.0
2019-09-24,1235.0
2019-10-01,38765.0
2019-10-08,41421.0
2019-10-15,77348.0
2019-10-22,91456.0
2019-10-29,102683.0
2019-11-05,91933.0
2019-11-12,68334.0
2019-11-19,59914.0
2019-11-26,13867.0
2019-12-03,-26143.0
2019-12-10,-43497.0
2019-12-17,-16995.0
2019-12-24,19241.0
2019-12-31,29579.0
2020-01-07,28451.0
2020-01-14,34661.0
2020-01-21,17644.0
2020-01-28,-6296.0
2020-02-04,-19838.0
2020-02-11,-23684.0
2020-02-18,-15864.0
2020-02-25,-30558.0
2020-03-03,11378.0
2020-03-10,31468.0
2020-03-17,33616.0
2020-03-24,60347.0
2020-03-31,89411.0
2020-04-07,93101.0
2020-04-14,96924.0
2020-04-21,83022.0
2020-04-28,76629.0
2020-05-05,82783.0
2020-05-12,103227.0
2020-05-19,87601.0
2020-05-26,78859.0
2020-06-02,71836.0
2020-06-09,84109.0
2020-06-16,90202.0
2020-06-23,108014.0
2020-06-30,122871.0
2020-07-07,150509.0
2020-07-14,127694.0
2020-07-21,121499.0
2020-07-28,113043.0
2020-08-04,91951.0
2020-08-11,78289.0
2020-08-18,138580.0
2020-08-25,143252.0
2020-09-01,192009.0
2020-09-08,192429.0
2020-09-15,210135.0
2020-09-22,218566.0
2020-09-29,239872.0
2020-10-06,257283.0
2020-10-13,254753.0
2020-10-20,259872.0
2020-10-27,280864.0
2020-11-03,265891.0
2020-11-10,282075.0
2020-11-17,276343.0
2020-11-24,281730.0
2020-12-01,272329.0
2020-12-08,268968.0
2020-12-15,267503.0
2020-12-22,271238.0
2020-12-29,260448.0
2021-01-05,241568.0
2021-01-12,230857.0
2021-01-19,226687.0
2021-01-26,236433.0
2021-02-02,242222.0
2021-02-09,249175.0
2021-02-16,236108.0
2021-02-23,239808.0
2021-03-02,223662.0
2021-03-09,224745.0
2021-03-16,221531.0
2021-03-23,227664.0
2021-03-30,211679.0
2021-04-06,233803.0
2021-04-13,224018.0
2021-04-20,243162.0
2021-04-27,250633.0
2021-05-04,247587.0
2021-05-11,245908.0
2021-05-18,228341.0
2021-05-25,221055.0
2021-06-01,224076.0
2021-06-08,226688.0
2021-06-15,205393.0
2021-06-22,180948.0
2021-06-29,134011.0
2021-07-06,139264.0
2021-07-13,130640.0
2021-07-20,137679.0
2021-07-27,125661.0
2021-08-03,115803.0
2021-08-10,122396.0
2021-08-17,116404.0
2021-08-24,101647.0
2021-08-31,81135.0
2021-09-07,70237.0
2021-09-14,65755.0
2021-09-21,61054.0
2021-09-28,64720.0
2021-10-05,51401.0
2021-10-12,41990.0
2021-10-19,43541.0
2021-10-26,43230.0
2021-11-02,58756.0
2021-11-09,27584.0
2021-11-16,46917.0
2021-11-23,66214.0
2021-11-30,55317.0
2021-12-07,59654.0
2021-12-14,63221.0
2021-12-21,102877.0
2021-12-28,125285.0
2022-01-04,130556.0
2022-01-11,138272.0
2022-01-18,128015.0
2022-01-25,148872.0
2022-02-01,193373.0
2022-02-08,209730.0
2022-02-15,216732.0
2022-02-22,226464.0
2022-03-01,218907.0
2022-03-08,216577.0
2022-03-15,217599.0
2022-03-22,218636.0
2022-03-29,206469.0
2022-04-05,198924.0
2022-04-12,198295.0
2022-04-19,200098.0
2022-04-26,203806.0
2022-05-03,190402.0
2022-05-10,174608.0
2022-05-17,183647.0
2022-05-24,188368.0
2022-05-31,186078.0
2022-06-07,176644.0
2022-06-14,182667.0
2022-06-21,178379.0
2022-06-28,137193.0
2022-07-05,125491.0
2022-07-12,115119.0
2022-07-19,102593.0
2022-07-26,85241.0
2022-08-02,92527.0
2022-08-09,88901.0
2022-08-16,83183.0
2022-08-23,87836.0
2022-08-30,83562.0
2022-09-06,81251.0
2022-09-13,92110.0
2022-09-20,84773.0
2022-09-27,80051.0
2022-10-04,66757.0
2022-10-11,55769.0
2022-10-18,54683.0
2022-10-25,57385.0
2022-11-01,86522.0
2022-11-08,87809.0
2022-11-15,76804.0
2022-11-22,70239.0
2022-11-29,87208.0
2022-12-06,89661.0
2022-12-13,113059.0
2022-12-20,124694.0
2022-12-27,133519.0
2023-01-03,148639.0
2023-01-10,140328.0
2023-01-17,169065.0
2023-01-24,155222.0
2023-01-31,178398.0
2023-02-07,174813.0
2023-02-14,191886.0
2023-02-21,193260.0
2023-02-28,158421.0
2023-03-07,180199.0
2023-03-14,167994.0
2023-03-21,171787.0
2023-03-28,161020.0
2023-04-04,184345.0
2023-04-11,179346.0
2023-04-18,177510.0
2023-04-25,104096.0
2023-05-02,75120.0
2023-05-09,64275.0
2023-05-16,38154.0
2023-05-23,29205.0
2023-05-30,29814.0
2023-06-06,39155.0
2023-06-13,62949.0
2023-06-20,88532.0
2023-06-27,101849.0
2023-07-04,90973.0
2023-07-11,90863.0
2023-07-18,107283.0
2023-07-25,134982.0
2023-08-01,113760.0
2023-08-08,83463.0
2023-08-15,65333.0
2023-08-22,66133.0
2023-08-29,92162.0
2023-09-05,87329.0
2023-09-12,85217.0
2023-09-19,62690.0
2023-09-26,46488.0
2023-10-03,22503.0
2023-10-10,23378.0
2023-10-17,27105.0
2023-10-24,36454.0
2023-10-31,16260.0
2023-11-07,63557.0
