yearRun,MonthRun,Season,LaNinaProb,NeutralProb,ElNinoProb,ForecastDate
2024,8,NDJ,74,25,1,2025-01-01
2024,8,DJF,67,31,2,2025-02-01
2024,8,JFM,57,40,3,2025-03-01
2024,8,FMA,44,51,5,2025-04-01
2024,8,MAM,27,65,8,2025-05-01
2024,9,ASO,38,62,0,2024-10-01
2024,9,SON,71,29,0,2024-11-01
2024,9,OND,81,19,0,2024-12-01
2024,9,NDJ,83,17,0,2025-01-01
2024,9,DJF,77,22,1,2025-02-01
2024,9,JFM,63,35,2,2025-03-01
2024,9,FMA,47,49,4,2025-04-01
2024,9,MAM,33,61,6,2025-05-01
2024,9,AMJ,22,66,12,2025-06-01
2024,10,SON,60,40,0,2024-11-01
2024,10,OND,71,29,0,2024-12-01
2024,10,NDJ,75,25,0,2025-01-01
2024,10,DJF,71,28,1,2025-02-01
2024,10,JFM,60,38,2,2025-03-01
2024,10,FMA,46,51,3,2025-04-01
2024,10,MAM,32,63,5,2025-05-01
2024,10,AMJ,20,68,12,2025-06-01
2024,10,MJJ,18,63,19,2025-07-01
2024,11,OND,57,43,0,2024-12-01
2024,11,NDJ,74,26,0,2025-01-01
2024,11,DJF,72,28,0,2025-02-01
2024,11,JFM,61,38,1,2025-03-01
2024,11,FMA,46,52,2,2025-04-01
2024,11,MAM,33,64,3,2025-05-01
2024,11,AMJ,26,67,7,2025-06-01
2024,11,MJJ,23,65,12,2025-07-01
2024,11,JJA,20,60,20,2025-08-01
2024,12,NDJ,59,41,0,2025-01-01
2024,12,DJF,72,28,0,2025-02-01
2024,12,JFM,63,37,0,2025-03-01
2024,12,FMA,51,49,0,2025-04-01
2024,12,MAM,37,61,2,2025-05-01
2024,12,AMJ,29,66,5,2025-06-01
2024,12,MJJ,27,63,10,2025-07-01
2024,12,JJA,26,58,16,2025-08-01
2024,12,JAS,27,52,21,2025-09-01
2025,1,DJF,94,6,0,2025-02-01
2025,1,JFM,83,17,0,2025-03-01
2025,1,FMA,59,41,0,2025-04-01
2025,1,MAM,39,60,1,2025-05-01
2025,1,AMJ,31,65,4,2025-06-01
2025,1,MJJ,29,62,9,2025-07-01
2025,1,JJA,28,56,16,2025-08-01
2025,1,JAS,32,49,19,2025-09-01
2025,1,ASO,35,44,21,2025-10-01
2025,2,JFM,95,5,0,2025-03-01
2025,2,FMA,59,41,0,2025-04-01
2025,2,MAM,34,66,0,2025-05-01
2025,2,AMJ,29,70,1,2025-06-01
2025,2,MJJ,27,68,5,2025-07-01
2025,2,JJA,28,60,12,2025-08-01
2025,2,JAS,32,52,16,2025-09-01
2025,2,ASO,35,48,17,2025-10-01
2025,2,SON,36,44,20,2025-11-01
2025,3,FMA,25,75,0,2025-04-01
2025,3,MAM,19,81,0,2025-05-01
2025,3,AMJ,22,77,1,2025-06-01
2025,3,MJJ,24,72,4,2025-07-01
2025,3,JJA,29,62,9,2025-08-01
2025,3,JAS,33,55,12,2025-09-01
2025,3,ASO,38,49,13,2025-10-01
2025,3,SON,40,46,14,2025-11-01
2025,3,OND,42,42,16,2025-12-01
