DATE,BR_SOJA3_PRICE
2025-03-26,10.25
2025-03-27,10.76
2025-03-28,10.55
2025-03-31,10.4
2025-04-01,10.3
2025-04-02,10.3
2025-04-03,10.25
2025-04-04,10.18
2025-04-07,10.02
2025-04-08,9.87
2025-04-09,9.99
