DATE,US_SUGAR_NET_LONG
2015-08-11,-1329.0
2015-08-18,-9651.0
2015-08-25,-11275.0
2015-09-01,14137.0
2015-09-08,50571.0
2015-09-15,56770.0
2015-09-22,45815.0
2015-09-29,79901.0
2015-10-06,130525.0
2015-10-13,158907.0
2015-10-20,164456.0
2015-10-27,171985.0
2015-11-03,185358.0
2015-11-10,171132.0
2015-11-17,173010.0
2015-11-24,194476.0
2015-12-01,196485.0
2015-12-08,205722.0
2015-12-15,192915.0
2015-12-22,196680.0
2015-12-29,192062.0
2016-01-05,190043.0
2016-01-12,166636.0
2016-01-19,175378.0
2016-01-26,154619.0
2016-02-02,105586.0
2016-02-09,84006.0
2016-02-16,78257.0
2016-02-23,66648.0
2016-03-01,86512.0
2016-03-08,112359.0
2016-03-15,137659.0
2016-03-22,174599.0
2016-03-29,189120.0
2016-04-05,186235.0
2016-04-12,162760.0
2016-04-19,166542.0
2016-04-26,189981.0
2016-05-03,206499.0
2016-05-10,231776.0
2016-05-17,252334.0
2016-05-24,250354.0
2016-05-31,255359.0
2016-06-07,255674.0
2016-06-14,262069.0
2016-06-21,317316.0
2016-06-28,313071.0
2016-07-05,303633.0
2016-07-12,302435.0
2016-07-19,297757.0
2016-07-26,291955.0
2016-08-02,289795.0
2016-08-09,297391.0
2016-08-16,296909.0
2016-08-23,309281.0
2016-08-30,312672.0
2016-09-06,294212.0
2016-09-13,293042.0
2016-09-20,326929.0
2016-09-27,329296.0
2016-10-04,328937.0
2016-10-11,314092.0
2016-10-18,304720.0
2016-10-25,298860.0
2016-11-01,276607.0
2016-11-08,270090.0
2016-11-15,252905.0
2016-11-22,216714.0
2016-11-29,216533.0
2016-12-06,220500.0
2016-12-13,209678.0
2016-12-20,183724.0
2016-12-27,175473.0
2017-01-03,174932.0
2017-01-10,182994.0
2017-01-17,192171.0
2017-01-24,197092.0
2017-01-31,197421.0
2017-02-07,213819.0
2017-02-14,203076.0
2017-02-21,199131.0
2017-02-28,179767.0
2017-03-07,166476.0
2017-03-14,143276.0
2017-03-21,126116.0
2017-03-28,115163.0
2017-04-04,104479.0
2017-04-11,104127.0
2017-04-18,91720.0
2017-04-25,78859.0
2017-05-02,66586.0
2017-05-09,54948.0
2017-05-16,43332.0
2017-05-23,62920.0
2017-05-30,49065.0
2017-06-06,22122.0
2017-06-13,11850.0
2017-06-20,-28943.0
2017-06-27,-46969.0
2017-07-04,-45898.0
2017-07-11,-56035.0
2017-07-18,-53475.0
2017-07-25,-41939.0
2017-08-01,-25733.0
2017-08-08,-25352.0
2017-08-15,-53802.0
2017-08-22,-68632.0
2017-08-29,-64903.0
2017-09-05,-56330.0
2017-09-12,-39453.0
2017-09-19,-19690.0
2017-09-26,-26187.0
2017-10-03,-46781.0
2017-10-10,-48072.0
2017-10-17,-62241.0
2017-10-24,-62867.0
2017-10-31,-40880.0
2017-11-07,-35722.0
2017-11-14,8365.0
2017-11-21,26827.0
2017-11-28,33990.0
2017-12-05,36309.0
2017-12-12,-33172.0
2017-12-19,-55445.0
2017-12-26,-37562.0
2018-01-02,-8198.0
2018-01-09,15146.0
2018-01-16,-35022.0
2018-01-23,-84460.0
2018-01-30,-104518.0
2018-02-06,-99578.0
2018-02-13,-86731.0
2018-02-20,-89414.0
2018-02-27,-100326.0
2018-03-06,-82028.0
2018-03-13,-114354.0
2018-03-20,-116156.0
2018-03-27,-120594.0
2018-04-03,-119055.0
2018-04-10,-115852.0
2018-04-17,-114036.0
2018-04-24,-114236.0
2018-05-01,-102891.0
2018-05-08,-95605.0
2018-05-15,-88311.0
2018-05-22,-45654.0
2018-05-29,-11218.0
2018-06-05,26214.0
2018-06-12,23209.0
2018-06-19,13939.0
2018-06-26,31713.0
2018-07-03,816.0
2018-07-10,-7973.0
2018-07-17,-27713.0
2018-07-24,-37535.0
2018-07-31,-68326.0
2018-08-07,-67273.0
