DATE,US_COTTON_NET_LONG
2013-03-19,82717.0
2013-03-26,78793.0
2013-04-02,77405.0
2013-04-09,68356.0
2013-04-16,54110.0
2013-04-23,52497.0
2013-04-30,50478.0
2013-05-07,51133.0
2013-05-14,59770.0
2013-05-21,64235.0
2013-05-28,56816.0
2013-06-04,48762.0
2013-06-11,48661.0
2013-06-18,66943.0
2013-06-25,61657.0
2013-07-02,62648.0
2013-07-09,65772.0
2013-07-16,64286.0
2013-07-23,64197.0
2013-07-30,65402.0
2013-08-06,67823.0
2013-08-13,80983.0
2013-08-20,83549.0
2013-08-27,61402.0
2013-09-03,49086.0
2013-09-10,44036.0
2013-09-17,46004.0
2013-09-24,45781.0
2013-10-01,54852.0
2013-10-08,54383.0
2013-10-15,46735.0
2013-10-22,38491.0
2013-10-29,16695.0
2013-11-05,12702.0
2013-11-12,5185.0
2013-11-19,4546.0
2013-11-26,7156.0
2013-12-03,7718.0
2013-12-10,17280.0
2013-12-17,33041.0
2013-12-24,36008.0
2013-12-31,40627.0
2014-01-07,40555.0
2014-01-14,38594.0
2014-01-21,46884.0
2014-01-28,44323.0
2014-02-04,44108.0
2014-02-11,50278.0
2014-02-18,56240.0
2014-02-25,52555.0
2014-03-04,51801.0
2014-03-11,63110.0
2014-03-18,65736.0
2014-03-25,65272.0
2014-04-01,64085.0
2014-04-08,61354.0
2014-04-15,52328.0
2014-04-22,55331.0
2014-04-29,58732.0
2014-05-06,63151.0
2014-05-13,59960.0
2014-05-20,51147.0
2014-05-27,41261.0
2014-06-03,37460.0
2014-06-10,27556.0
2014-06-17,21306.0
2014-06-24,20575.0
2014-07-01,12134.0
2014-07-08,5167.0
2014-07-15,1414.0
2014-07-22,-922.0
2014-07-29,-6812.0
2014-08-05,-8795.0
2014-08-12,-11360.0
2014-08-19,-12864.0
2014-08-26,-9058.0
2014-09-02,-12381.0
2014-09-09,-12245.0
2014-09-16,-11982.0
2014-09-23,-18816.0
2014-09-30,-25968.0
2014-10-07,-23222.0
2014-10-14,-15500.0
2014-10-21,-14566.0
2014-10-28,-7614.0
2014-11-04,-2899.0
2014-11-11,2046.0
2014-11-18,-12302.0
2014-11-25,-13023.0
2014-12-02,-11522.0
2014-12-09,-10316.0
2014-12-16,-6469.0
2014-12-23,2828.0
2014-12-30,5759.0
2015-01-06,240.0
2015-01-13,-888.0
2015-01-20,-13812.0
2015-01-27,-15572.0
2015-02-03,3543.0
2015-02-10,23749.0
2015-02-17,34816.0
2015-02-24,46577.0
2015-03-03,53348.0
2015-03-10,43334.0
2015-03-17,29268.0
2015-03-24,33169.0
2015-03-31,33954.0
2015-04-07,40000.0
2015-04-14,53242.0
2015-04-21,37868.0
2015-04-28,53552.0
2015-05-05,59809.0
2015-05-12,52642.0
2015-05-19,49031.0
2015-05-26,35943.0
2015-06-02,30245.0
2015-06-09,38129.0
2015-06-16,30483.0
2015-06-23,29500.0
2015-06-30,52858.0
2015-07-07,56850.0
2015-07-14,55881.0
2015-07-21,54138.0
2015-07-28,52139.0
2015-08-04,47902.0
2015-08-11,34437.0
2015-08-18,54874.0
